followers,polarity,sentiment_confidence,clusters,difference
7569,0,0,4,0
157,-0.2,0,4,0
1,0,0,4,0
177,0.125,0.95,1,0.000240223
4,-0.25,1,3,-1.14E-05
279,0,0,4,0
2466,0,0.1,4,0
6001,-0.1,0.1,4,-0.000685852
46,0.222619048,0.464285714,1,5.43E-05
116,0,0,4,0
1025,0,0,4,0
8,0,0.1,4,0
508,-0.15,0.4,1,-0.000348355
167,0.178333333,0.693888889,1,0.000236181
422,0,0,4,0
70,-0.75,1,3,-0.000600021
22,0,0,4,0
50,0,0,4,0
374,0,0.1,4,0
1375,0,0,4,0
61,0.136363636,0.454545455,1,4.32E-05
276,0.3,0.8,0,0.000757055
4913,0.5,0.5,0,0.014037626
258,0.625,0.5,0,0.00092146
115,0,0,4,0
133,0,0,4,0
4115,-0.3,0.75,3,-0.010581793
107,0,0,4,0
4964,0,0,4,0
6405,0.2,0.7,1,0.010248353
830,-0.033333333,0.4,1,-0.000126481
1037,0,0,4,0
13130,0,0,4,0
1,0,0,4,0
184,0.1,0.383333333,1,8.06E-05
133,0.207142857,0.55,1,0.000173177
938,-0.466666667,0.666666667,3,-0.003335226
1183,0,0.5,1,0
68,0.266666667,0.5,1,0.000103623
198,0,0,4,0
58914,0,0,4,0
293,0,0,4,0
265,0,0,4,0
20,0,0.1,4,0
2714,0,0,4,0
39,0.05,0.15,4,3.34E-06
435,0,0,4,0
7054,0.6,0.9,0,0.043534757
28,-0.75,1,3,-0.000240008
205,0,0,4,0
133,0,0,4,0
71,0,0.6,1,0
158,0,0,4,0
775,0,0,4,0
269,0,0,4,0
83,0,0,4,0
551,0,0,4,0
11,-0.75,1,3,-9.43E-05
990,0.1,0.383333333,1,0.000433729
156,0,0,4,0
775,0.214285714,0.5,1,0.000949012
1893,-0.466666667,0.666666667,3,-0.006730898
6121,0,0,4,0
120,0,0,4,0
1760,0,0,4,0
347,0,0,4,0
18,0,0,4,0
1760,0,0,4,0
458,0,0,4,0
172,0,0,4,0
133,0,0.066666667,4,0
6187,0.13,0.32,1,0.002941578
1760,0,0,4,0
775,0.5,0.75,0,0.003321543
